InputType,ArraySize,EarlyTermination,NormalBubble
Sorted,100,99,4950
Random,100,4884,4950
Reverse,100,4950,4950
Sorted,200,199,19900
Random,200,19879,19900
Reverse,200,19900,19900
Sorted,300,299,44850
Random,300,44444,44850
Reverse,300,44850,44850
Sorted,400,399,79800
Random,400,79680,79800
Reverse,400,79800,79800
Sorted,500,499,124750
Random,500,122797,124750
Reverse,500,124750,124750
Sorted,600,599,179700
Random,600,179490,179700
Reverse,600,179700,179700
Sorted,700,699,244650
Random,700,244419,244650
Reverse,700,244650,244650
Sorted,800,799,319600
Random,800,319480,319600
Reverse,800,319600,319600
Sorted,900,899,404550
Random,900,403560,404550
Reverse,900,404550,404550
Sorted,1000,999,499500
Random,1000,497289,499500
Reverse,1000,499500,499500
