n,1_over_n,log2_n,12sqrt_n,50sqrt_n,n_pow_051,2pow32_n,nlogn,n2_minus324,100n2_plus6n,2n3,nlogpower,3pow_n
100,-2,0.82242,2.079181,2.69897,1.02,11.63296,2.82242,3.985696,6.00026,6.30103,13.287712,47.712125
200,-2.30103,0.883313,2.229696,2.849485,1.173525,11.93399,3.184343,4.598528,6.60219,7.20412,17.588742,95.424251
300,-2.477121,0.915337,2.317742,2.937531,1.263332,12.110081,3.392459,4.952676,6.954329,7.732394,20.383782,143.136376
400,-2.60206,0.936708,2.380211,3,1.327051,12.23502,3.538768,5.20324,7.204185,8.10721,22.491832,190.848502
500,-2.69897,0.952588,2.428666,3.048455,1.376475,12.33193,3.651558,5.397377,7.397992,8.39794,24.198383,238.560627
600,-2.778151,0.965146,2.468257,3.088046,1.416857,12.411111,3.743297,5.555911,7.556346,8.635484,25.639054,286.272753
700,-2.845098,0.975487,2.50173,3.121519,1.451,12.478058,3.820586,5.689909,7.690233,8.836324,26.889622,333.984878
800,-2.90309,0.984251,2.530726,3.150515,1.480576,12.53605,3.887341,5.80596,7.806213,9.0103,27.996982,381.697004
900,-2.954243,0.991836,2.556303,3.176091,1.506664,12.587202,3.946079,5.908311,7.908514,9.163758,28.99229,429.409129
1000,-3,0.998511,2.579181,3.19897,1.53,12.63296,3.998511,5.999859,8.000026,9.30103,29.897353,477.121255
1100,-3.041393,1.004463,2.599878,3.219666,1.55111,12.674353,4.045855,6.082669,8.082809,9.425208,30.728066,524.83338
1200,-3.079181,1.009825,2.618772,3.238561,1.570382,12.712141,4.089007,6.158265,8.158384,9.538574,31.496387,572.545506
1300,-3.113943,1.014701,2.636153,3.255942,1.588111,12.746903,4.128644,6.227803,8.227907,9.64286,32.211551,620.257631
1400,-3.146128,1.019167,2.652245,3.272034,1.604525,12.779088,4.165295,6.292184,8.292275,9.739414,32.880848,667.969757
1500,-3.176091,1.023283,2.667227,3.287016,1.619807,12.809051,4.199374,6.35212,8.3522,9.829304,33.510135,715.681882
1600,-3.20412,1.027099,2.681241,3.30103,1.634101,12.83708,4.231219,6.408185,8.408256,9.91339,34.104192,763.394008
1700,-3.230449,1.030653,2.694406,3.314194,1.647529,12.863409,4.261102,6.460849,8.460913,9.992377,34.666978,811.106133
1800,-3.255273,1.033978,2.706817,3.326606,1.660189,12.888232,4.28925,6.510502,8.510559,10.066848,35.201805,858.818258
1900,-3.278754,1.037099,2.718558,3.338347,1.672164,12.911713,4.315853,6.557468,8.557521,10.137291,35.711475,906.530384
2000,-3.30103,1.04004,2.729696,3.349485,1.683525,12.93399,4.34107,6.602025,8.602073,10.20412,36.198383,954.242509
2100,-3.322219,1.042819,2.740291,3.36008,1.694332,12.955179,4.365038,6.644407,8.644451,10.267688,36.664589,1001.954635
2200,-3.342423,1.045452,2.750393,3.370181,1.704636,12.975383,4.387874,6.684816,8.684857,10.328298,37.111881,1049.66676
2300,-3.361728,1.047953,2.760045,3.379834,1.714481,12.994688,4.409681,6.723429,8.723467,10.386214,37.54182,1097.378886
2400,-3.380211,1.050334,2.769287,3.389076,1.723908,13.013171,4.430545,6.760398,8.760433,10.441664,37.955779,1145.091011
2500,-3.39794,1.052606,2.778151,3.39794,1.732949,13.0309,4.450546,6.795858,8.79589,10.49485,38.35497,1192.803137
2600,-3.414973,1.054778,2.786668,3.406457,1.741636,13.047933,4.469751,6.829926,8.829957,10.54595,38.740468,1240.515262
2700,-3.431364,1.056857,2.794863,3.414652,1.749996,13.064324,4.488221,6.862708,8.862737,10.595121,39.113236,1288.227388
2800,-3.447158,1.058851,2.80276,3.422549,1.758051,13.080118,4.506009,6.894298,8.894325,10.642504,39.474134,1335.939513
2900,-3.462398,1.060767,2.81038,3.430169,1.765823,13.095358,4.523165,6.924779,8.924805,10.688224,39.823938,1383.651639
3000,-3.477121,1.06261,2.817742,3.437531,1.773332,13.110081,4.539731,6.954227,8.954251,10.732394,40.163347,1431.363764
3100,-3.491362,1.064385,2.824862,3.444651,1.780594,13.124322,4.555747,6.982709,8.982732,10.775115,40.492996,1479.07589
3200,-3.50515,1.066097,2.831756,3.451545,1.787626,13.13811,4.571247,7.010286,9.010308,10.81648,40.813462,1526.788015
3300,-3.518514,1.06775,2.838438,3.458227,1.794442,13.151474,4.586263,7.037015,9.037036,10.856572,41.125272,1574.500141
3400,-3.531479,1.069347,2.844921,3.464709,1.801054,13.164439,4.600826,7.062946,9.062965,10.895467,41.428906,1622.212266
3500,-3.544068,1.070892,2.851215,3.471004,1.807475,13.177028,4.61496,7.088125,9.088144,10.933234,41.724806,1669.924392
3600,-3.556303,1.072389,2.857332,3.477121,1.813714,13.189262,4.628691,7.112594,9.112612,10.969937,42.01338,1717.636517
3700,-3.568202,1.07384,2.863282,3.483071,1.819783,13.201162,4.642041,7.136393,9.13641,11.005635,42.295,1765.348642
3800,-3.579784,1.075247,2.869073,3.488862,1.82569,13.212743,4.655031,7.159557,9.159574,11.040381,42.570012,1813.060768
3900,-3.591065,1.076613,2.874714,3.494502,1.831443,13.224024,4.667678,7.18212,9.182136,11.074224,42.838738,1860.772893
4000,-3.60206,1.077941,2.880211,3.5,1.837051,13.23502,4.680001,7.204111,9.204126,11.10721,43.101473,1908.485019
4100,-3.612784,1.079232,2.885573,3.505362,1.84252,13.245744,4.692016,7.225559,9.225574,11.139382,43.358494,1956.197144
4200,-3.623249,1.080488,2.890806,3.510595,1.847857,13.256209,4.703738,7.246491,9.246505,11.170778,43.610058,2003.90927
