N,Unsorted Array,Sorted Array,Unsorted SLL,Sorted SLL,Unsorted DLL,Sorted DLL
10,1,10,1,10,1,10
20,1,20,1,20,1,20
30,1,30,1,30,1,30
40,1,40,1,40,1,40
50,1,50,1,50,1,50
60,1,60,1,60,1,60
70,1,70,1,70,1,70
80,1,80,1,80,1,80
90,1,90,1,90,1,90
100,1,100,1,100,1,100
110,1,110,1,110,1,110
120,1,120,1,120,1,120
130,1,130,1,130,1,130
140,1,140,1,140,1,140
150,1,150,1,150,1,150
160,1,160,1,160,1,160
170,1,170,1,170,1,170
180,1,180,1,180,1,180
190,1,190,1,190,1,190
200,1,200,1,200,1,200
210,1,210,1,210,1,210
220,1,220,1,220,1,220
230,1,230,1,230,1,230
240,1,240,1,240,1,240
250,1,250,1,250,1,250
260,1,260,1,260,1,260
270,1,270,1,270,1,270
280,1,280,1,280,1,280
290,1,290,1,290,1,290
300,1,300,1,300,1,300
310,1,310,1,310,1,310
320,1,320,1,320,1,320
330,1,330,1,330,1,330
340,1,340,1,340,1,340
350,1,350,1,350,1,350
360,1,360,1,360,1,360
370,1,370,1,370,1,370
380,1,380,1,380,1,380
390,1,390,1,390,1,390
400,1,400,1,400,1,400
410,1,410,1,410,1,410
420,1,420,1,420,1,420
430,1,430,1,430,1,430
440,1,440,1,440,1,440
450,1,450,1,450,1,450
460,1,460,1,460,1,460
470,1,470,1,470,1,470
480,1,480,1,480,1,480
490,1,490,1,490,1,490
500,1,500,1,500,1,500
510,1,510,1,510,1,510
520,1,520,1,520,1,520
530,1,530,1,530,1,530
540,1,540,1,540,1,540
550,1,550,1,550,1,550
560,1,560,1,560,1,560
570,1,570,1,570,1,570
580,1,580,1,580,1,580
590,1,590,1,590,1,590
600,1,600,1,600,1,600
610,1,610,1,610,1,610
620,1,620,1,620,1,620
630,1,630,1,630,1,630
640,1,640,1,640,1,640
650,1,650,1,650,1,650
660,1,660,1,660,1,660
670,1,670,1,670,1,670
680,1,680,1,680,1,680
690,1,690,1,690,1,690
700,1,700,1,700,1,700
710,1,710,1,710,1,710
720,1,720,1,720,1,720
730,1,730,1,730,1,730
740,1,740,1,740,1,740
750,1,750,1,750,1,750
760,1,760,1,760,1,760
770,1,770,1,770,1,770
780,1,780,1,780,1,780
790,1,790,1,790,1,790
800,1,800,1,800,1,800
810,1,810,1,810,1,810
820,1,820,1,820,1,820
830,1,830,1,830,1,830
840,1,840,1,840,1,840
850,1,850,1,850,1,850
860,1,860,1,860,1,860
870,1,870,1,870,1,870
880,1,880,1,880,1,880
890,1,890,1,890,1,890
900,1,900,1,900,1,900
910,1,910,1,910,1,910
920,1,920,1,920,1,920
930,1,930,1,930,1,930
940,1,940,1,940,1,940
950,1,950,1,950,1,950
960,1,960,1,960,1,960
970,1,970,1,970,1,970
980,1,980,1,980,1,980
990,1,990,1,990,1,990
1000,1,1000,1,1000,1,1000
