N,Unsorted Array,Sorted Array,Unsorted SLL,Sorted SLL,Unsorted DLL,Sorted DLL
10,10,3.321928,10,10,10,10
20,20,4.321928,20,20,20,20
30,30,4.906891,30,30,30,30
40,40,5.321928,40,40,40,40
50,50,5.643856,50,50,50,50
60,60,5.906891,60,60,60,60
70,70,6.129283,70,70,70,70
80,80,6.321928,80,80,80,80
90,90,6.491853,90,90,90,90
100,100,6.643856,100,100,100,100
110,110,6.78136,110,110,110,110
120,120,6.906891,120,120,120,120
130,130,7.022368,130,130,130,130
140,140,7.129283,140,140,140,140
150,150,7.228819,150,150,150,150
160,160,7.321928,160,160,160,160
170,170,7.409391,170,170,170,170
180,180,7.491853,180,180,180,180
190,190,7.569856,190,190,190,190
200,200,7.643856,200,200,200,200
210,210,7.714246,210,210,210,210
220,220,7.78136,220,220,220,220
230,230,7.84549,230,230,230,230
240,240,7.906891,240,240,240,240
250,250,7.965784,250,250,250,250
260,260,8.022368,260,260,260,260
270,270,8.076816,270,270,270,270
280,280,8.129283,280,280,280,280
290,290,8.179909,290,290,290,290
300,300,8.228819,300,300,300,300
310,310,8.276124,310,310,310,310
320,320,8.321928,320,320,320,320
330,330,8.366322,330,330,330,330
340,340,8.409391,340,340,340,340
350,350,8.451211,350,350,350,350
360,360,8.491853,360,360,360,360
370,370,8.531381,370,370,370,370
380,380,8.569856,380,380,380,380
390,390,8.60733,390,390,390,390
400,400,8.643856,400,400,400,400
410,410,8.67948,410,410,410,410
420,420,8.714246,420,420,420,420
430,430,8.748193,430,430,430,430
440,440,8.78136,440,440,440,440
450,450,8.813781,450,450,450,450
460,460,8.84549,460,460,460,460
470,470,8.876517,470,470,470,470
480,480,8.906891,480,480,480,480
490,490,8.936638,490,490,490,490
500,500,8.965784,500,500,500,500
510,510,8.994353,510,510,510,510
520,520,9.022368,520,520,520,520
530,530,9.049849,530,530,530,530
540,540,9.076816,540,540,540,540
550,550,9.103288,550,550,550,550
560,560,9.129283,560,560,560,560
570,570,9.154818,570,570,570,570
580,580,9.179909,580,580,580,580
590,590,9.204571,590,590,590,590
600,600,9.228819,600,600,600,600
610,610,9.252665,610,610,610,610
620,620,9.276124,620,620,620,620
630,630,9.299208,630,630,630,630
640,640,9.321928,640,640,640,640
650,650,9.344296,650,650,650,650
660,660,9.366322,660,660,660,660
670,670,9.388017,670,670,670,670
680,680,9.409391,680,680,680,680
690,690,9.430453,690,690,690,690
700,700,9.451211,700,700,700,700
710,710,9.471675,710,710,710,710
720,720,9.491853,720,720,720,720
730,730,9.511753,730,730,730,730
740,740,9.531381,740,740,740,740
750,750,9.550747,750,750,750,750
760,760,9.569856,760,760,760,760
770,770,9.588715,770,770,770,770
780,780,9.60733,780,780,780,780
790,790,9.625709,790,790,790,790
800,800,9.643856,800,800,800,800
810,810,9.661778,810,810,810,810
820,820,9.67948,820,820,820,820
830,830,9.696968,830,830,830,830
840,840,9.714246,840,840,840,840
850,850,9.731319,850,850,850,850
860,860,9.748193,860,860,860,860
870,870,9.764872,870,870,870,870
880,880,9.78136,880,880,880,880
890,890,9.797662,890,890,890,890
900,900,9.813781,900,900,900,900
910,910,9.829723,910,910,910,910
920,920,9.84549,920,920,920,920
930,930,9.861087,930,930,930,930
940,940,9.876517,940,940,940,940
950,950,9.891784,950,950,950,950
960,960,9.906891,960,960,960,960
970,970,9.921841,970,970,970,970
980,980,9.936638,980,980,980,980
990,990,9.951285,990,990,990,990
1000,1000,9.965784,1000,1000,1000,1000
