ArraySize,WorstCase_BubbleSort,BestCase_EarlyTermination
100,4950,99
200,19900,199
300,44850,299
400,79800,399
500,124750,499
600,179700,599
700,244650,699
800,319600,799
900,404550,899
1000,499500,999
1100,604450,1099
1200,719400,1199
1300,844350,1299
1400,979300,1399
1500,1124250,1499
1600,1279200,1599
1700,1444150,1699
1800,1619100,1799
1900,1804050,1899
2000,1999000,1999
2100,2203950,2099
2200,2418900,2199
2300,2643850,2299
2400,2878800,2399
2500,3123750,2499
2600,3378700,2599
2700,3643650,2699
2800,3918600,2799
2900,4203550,2899
3000,4498500,2999
3100,4803450,3099
3200,5118400,3199
3300,5443350,3299
3400,5778300,3399
3500,6123250,3499
3600,6478200,3599
3700,6843150,3699
3800,7218100,3799
3900,7603050,3899
4000,7998000,3999
4100,8402950,4099
4200,8817900,4199
4300,9242850,4299
4400,9677800,4399
4500,10122750,4499
4600,10577700,4599
4700,11042650,4699
4800,11517600,4799
4900,12002550,4899
5000,12497500,4999
